ROWID	_HP|DOUBLE	_ATK|DOUBLE	_SuperArmor|DOUBLE	_ItemDrop|DOUBLE	_StageWeightID|INTEGER	_HeadCount|INTEGER	_Fatigue|DOUBLE	_Exp|DOUBLE
1	-0.75	-0.7	0.0	0.0	101	1	-0.36	-0.85
2	-0.5	-0.5	0.0	0.0	101	2	-0.39	-0.65
3	-0.25	-0.2	0.0	0.0	101	3	-0.43	-0.36
4	0.0	0.0	0.0	0.0	101	4	-0.49	0.0
5	-0.5	-0.6	0.0	0.0	102	1	-0.36	-0.85
6	-0.3	-0.35	0.0	0.0	102	2	-0.39	-0.65
7	-0.15	-0.1	0.0	0.0	102	3	-0.43	-0.36
8	0.0	0.0	0.0	0.0	102	4	-0.49	0.0
9	-0.85	-0.75	0.0	0.0	103	1	0.0	0.0
10	-0.5	-0.5	0.0	0.0	103	2	0.0	0.0
11	-0.25	-0.25	0.0	0.0	103	3	0.0	0.0
12	0.0	0.0	0.0	0.0	103	4	0.0	0.0
13	-0.75	-0.7	0.0	0.0	104	1	-0.36	-0.85
14	-0.5	-0.5	0.0	0.0	104	2	-0.39	-0.65
15	-0.25	-0.2	0.0	0.0	104	3	-0.43	-0.36
16	0.0	0.0	0.0	0.0	104	4	-0.49	0.0
17	-0.75	-0.7	0.0	0.0	105	1	-0.36	-0.85
18	-0.5	-0.5	0.0	0.0	105	2	-0.39	-0.65
19	-0.25	-0.2	0.0	0.0	105	3	-0.43	-0.36
20	0.0	0.0	0.0	0.0	105	4	-0.49	0.0
21	-0.75	-0.7	0.0	0.0	106	1	-0.36	-0.85
22	-0.5	-0.5	0.0	0.3	106	2	-0.39	-0.65
23	-0.25	-0.2	0.0	0.65	106	3	-0.43	-0.36
24	0.0	0.0	0.0	1.0	106	4	-0.49	0.0
25	-0.75	-0.7	0.0	0.0	107	1	-0.36	-0.85
26	-0.5	-0.5	0.0	0.3	107	2	-0.39	-0.65
27	-0.25	-0.2	0.0	0.65	107	3	-0.43	-0.36
28	0.0	0.0	0.0	1.0	107	4	-0.49	0.0
29	-0.5	-0.25	0.0	1.0	108	1	0.0	0.0
30	0.0	0.0	0.0	1.0	108	2	0.0	0.0
31	-0.75	-0.7	0.0	0.0	109	1	-0.36	-0.85
32	-0.5	-0.5	0.0	0.3	109	2	-0.39	-0.65
33	-0.25	-0.2	0.0	0.65	109	3	-0.43	-0.36
34	0.0	0.0	0.0	1.0	109	4	-0.49	0.0
35	0.0	0.0	0.0	0.0	110	1	0.0	0.0
36	0.0	0.0	0.0	0.0	1000	1	0.0	0.0
37	0.0	0.0	0.0	0.0	1000	2	0.0	0.0
38	0.0	0.0	0.0	0.0	1000	3	0.0	0.0
39	0.0	0.0	0.0	0.0	1000	4	0.0	0.0
40	0.0	0.0	0.0	0.0	111	1	0.0	0.0
41	0.75	0.0	0.0	0.0	111	2	0.0	0.0
42	1.5	0.0	0.0	0.0	111	3	0.0	0.0
43	2.05	0.0	0.0	0.0	111	4	0.0	0.0
44	0.0	0.0	0.0	0.0	1001	1	0.0	0.0
45	0.0	0.0	0.0	1.0	1001	2	0.0	0.0
46	0.0	0.0	0.0	2.0	1001	3	0.0	0.0
47	0.0	0.0	0.0	3.0	1001	4	0.0	0.0
48	0.0	0.0	0.0	0.0	112	1	0.0	0.0
49	0.0	0.0	0.0	0.0	112	2	0.0	0.0
50	0.0	0.0	0.0	0.0	112	3	0.0	0.0
51	0.0	0.0	0.0	0.0	112	4	0.0	0.0
52	0.0	0.0	0.0	0.0	113	1	0.0	0.0
53	0.0	0.0	0.0	0.0	113	2	0.0	0.0
54	0.0	0.0	0.0	0.0	113	3	0.0	0.0
55	0.0	0.0	0.0	0.0	113	4	0.0	0.0
