ROWID	_MapID|INTEGER	_Difficulty|INTEGER	_MinExDifficulty|INTEGER	_MaxExDifficulty|INTEGER	_State|INTEGER	_MinState|INTEGER	_MaxState|INTEGER	_skillID|TEXT
1	19690	4	15	22	109	0	9	81629
2	19690	4	15	22	109	10	19	81630
3	19690	4	15	22	109	20	29	81631
4	19690	4	15	22	109	30	39	81632
5	19690	4	15	22	109	40	49	81634
6	19690	4	15	22	109	50	59	81636
7	19690	4	15	22	109	60	69	81637
8	19690	4	15	22	109	70	99999	81638
21	19695	4	15	22	109	0	9	81628
22	19695	4	15	22	109	10	19	81629
23	19695	4	15	22	109	20	29	81630
24	19695	4	15	22	109	30	39	81631
25	19695	4	15	22	109	40	49	81632
26	19695	4	15	22	109	50	59	81634
27	19695	4	15	22	109	60	69	81636
28	19695	4	15	22	109	70	79	81637
29	19695	4	15	22	109	80	99999	81638
41	19697	4	15	22	109	0	29	81628
42	19697	4	15	22	109	30	39	81629
43	19697	4	15	22	109	40	49	81630
44	19697	4	15	22	109	50	59	81631
45	19697	4	15	22	109	60	69	81632
46	19697	4	15	22	109	70	79	81634
47	19697	4	15	22	109	80	89	81636
48	19697	4	15	22	109	90	99	81637
49	19697	4	15	22	109	100	99999	81638
61	19636	4	15	22	109	0	9	81629
62	19636	4	15	22	109	10	19	81630
63	19636	4	15	22	109	20	29	81631
64	19636	4	15	22	109	30	39	81632
65	19636	4	15	22	109	40	49	81634
66	19636	4	15	22	109	50	59	81636
67	19636	4	15	22	109	60	69	81637
68	19636	4	15	22	109	70	99999	81638
81	14980	4	25	25	109	0	49	81628
82	14980	4	25	25	109	50	59	81629
83	14980	4	25	25	109	60	69	81630
84	14980	4	25	25	109	70	79	81631
85	14980	4	25	25	109	80	89	81632
86	14980	4	25	25	109	90	99	81634
87	14980	4	25	25	109	100	109	81636
88	14980	4	25	25	109	110	119	81637
89	14980	4	25	25	109	120	99999	81638
