ROWID	_Type|INTEGER	_Index|INTEGER	_Expectation|DOUBLE	_Description|INTEGER	_DescriptionParam|TEXT
268469352	0	0	0.0	0	
268469353	0	0	0.0	0	
268469354	0	0	0.0	0	
268469355	0	0	0.0	0	
268469356	0	0	0.0	0	
268469357	0	0	0.0	0	
268469358	0	0	0.0	0	
268469359	0	0	0.0	0	
268469360	0	0	0.0	0	
268469361	0	0	0.0	0	
268469362	0	0	0.0	0	
268469343	0	0	0.0	0	
268469344	0	0	0.0	0	
268469345	0	0	0.0	0	
268469363	0	0	0.0	0	
268469347	0	0	0.0	0	
268469364	0	0	0.0	0	
268469365	0	0	0.0	0	
268469366	0	0	0.0	0	
268469367	0	0	0.0	0	
268443032	0	0	0.0	0	
268443100	0	0	0.0	0	
268443172	0	0	0.0	0	
268443389	0	0	0.0	0	
268443390	0	0	0.0	0	
268443391	0	0	0.0	0	
268443021	0	0	0.0	0	
268443101	0	0	0.0	0	
268443173	0	0	0.0	0	
268443392	0	0	0.0	0	
268443393	0	0	0.0	0	
268443394	0	0	0.0	0	
268443022	0	0	0.0	0	
268443102	0	0	0.0	0	
268443174	0	0	0.0	0	
268443395	0	0	0.0	0	
268443396	0	0	0.0	0	
268443397	0	0	0.0	0	
268443023	0	0	0.0	0	
268443103	0	0	0.0	0	
268443175	0	0	0.0	0	
268443398	0	0	0.0	0	
268443399	0	0	0.0	0	
268443400	0	0	0.0	0	
268443401	0	0	0.0	0	
268443402	0	0	0.0	0	
268443403	0	0	0.0	0	
268443024	0	0	0.0	0	
268443104	0	0	0.0	0	
268443176	0	0	0.0	0	
268443404	0	0	0.0	0	
268443405	0	0	0.0	0	
268443406	0	0	0.0	0	
268443407	0	0	0.0	0	
268443408	0	0	0.0	0	
268443409	0	0	0.0	0	
268443410	0	0	0.0	0	
268443411	0	0	0.0	0	
268443412	0	0	0.0	0	
268449744	0	0	0.0	0	
268449745	0	0	0.0	0	
268449746	0	0	0.0	0	
268443025	0	0	0.0	0	
268443105	0	0	0.0	0	
268443177	0	0	0.0	0	
268443413	0	0	0.0	0	
268443414	0	0	0.0	0	
268443415	0	0	0.0	0	
268443033	0	0	0.0	0	
268443106	0	0	0.0	0	
268443178	0	0	0.0	0	
268443034	0	0	0.0	0	
