ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_Type|INTEGER	_MissionID|INTEGER	_EventPeriod|TEXT	_RepeatType|INTEGER	_TimeCheck|INTEGER	_Run|BOOLEAN
1	7700	7705	0	1295	201102210000:201103210000	2	5	false
20	1000028499	1000031377	0	1387	201104020000:201104040000	2	30	false
21	1000028500	1000031377	0	1388	201104020000:201104040000	2	90	false
22	1000028501	1000031378	0	1386	201104040000:201104090000	1	30	false
23	1000028499	1000031377	0	1387	201104090000:201104110000	2	30	false
24	1000028500	1000031377	0	1388	201104090000:201104110000	2	90	false
25	1000028501	1000031378	0	1386	201104110000:201104160000	1	30	false
26	1000028499	1000031377	0	1387	201104160000:201104180000	2	30	false
27	1000028500	1000031377	0	1388	201104160000:201104180000	2	90	false
28	1000028501	1000031378	0	1386	201104180000:201104210000	1	30	false
29	1000028501	1000031378	0	1386	201103240000:201103260000	1	30	false
30	1000031431	1000037508	0	1296	201105040000:201106020000	2	30	false
31	1000031432	1000037508	0	1297	201105040000:201106020000	2	60	false
32	1000031431	1000037508	0	1296	201104290000:201105032000	2	5	false
33	1000031432	1000037508	0	1297	201104290000:201105032000	2	10	false
34	1000033777	1000033782	1	1457	201107140000:201108250000	2	30	false
35	1000033778	1000033782	1	1458	201107140000:201108250000	2	60	false
36	1000033779	1000033782	1	1459	201107140000:201108250000	2	90	false
37	1000033780	1000033782	1	1460	201107140000:201108250000	2	120	false
38	1000033781	1000033782	1	1461	201107160000:201107180000	2	180	false
39	1000033781	1000033782	1	1461	201107230000:201107250000	2	180	false
40	1000033781	1000033782	1	1461	201107300000:201108010000	2	180	false
41	1000033781	1000033782	1	1461	201108060000:201108080000	2	180	false
42	1000033781	1000033782	1	1461	201108130000:201108160000	2	180	false
43	1000033781	1000033782	1	1461	201108200000:201108220000	2	180	false
44	1000037643	1000037509	1	1728	201110200000:201111232359	2	30	false
45	1000037643	1000037509	1	1729	201110200000:201111232359	2	60	false
46	1000037644	1000037509	1	1730	201110220000:201110240000	2	120	false
47	1000037644	1000037509	1	1730	201110290000:201110310000	2	120	false
48	1000037644	1000037509	1	1730	201111050000:201111070000	2	120	false
49	1000037644	1000037509	1	1731	201111050000:201111070000	2	180	false
50	1000037644	1000037509	1	1730	201111120000:201111140000	2	120	false
51	1000037644	1000037509	1	1731	201111120000:201111140000	2	180	false
52	1000037644	1000037509	1	1730	201111190000:201111210000	2	120	false
53	1000037644	1000037509	1	1731	201111190000:201111210000	2	180	false
1000003	1000033777	1000033782	1	1457	201106300000:201108250000	2	5	false
1000004	1000033778	1000033782	1	1458	201106300000:201108250000	2	10	false
1000005	1000033779	1000033782	1	1459	201106300000:201108250000	2	15	false
1000006	1000033780	1000033782	1	1460	201106300000:201108250000	2	20	false
1000007	1000033781	1000033782	1	1461	201106300000:201108250000	2	25	false
1000008	1000037643	1000037509	1	1728	201110030000:201111240000	2	5	false
1000009	1000037643	1000037509	1	1729	201110030000:201111240000	2	8	false
1000010	1000037644	1000037509	1	1730	201110030000:201111240000	2	11	false
