ROWID	_MapID|INTEGER	_PropID|INTEGER	_Camfilename1|TEXT	_Camfilename2|TEXT	_UseMap|INTEGER	_ignoregrassdraw|BOOLEAN
1	16102	2	Login_TyphoonKim_Cam_Idle	Login_TyphoonKim_Cam_FadeOut	0	false
2	16101	2	Login_Kimbackssa_Cam_Idle	Login_Kimbackssa_Cam_FadeOut	0	false
3	16100	2	Login_Kali_Cam_Idle	Login_Kali_Cam_FadeOut	0	false
4	16103	1019	Login_Desert_Dragon_Cam_Idle	Login_Desert_Dragon_Cam_FadeOut	0	false
5	16104	0	Login_Title_Anuarendel_Cam_Idle	Login_Title_Anuarendel_Cam_FadeOut	0	false
6	16105	0	Login_Title_SaintHaven_Cam_Idle	Login_Title_SaintHaven_Cam_FadeOut	0	false
7	16106	14	Login_As_Cam_Idle	Login_As_Cam_FadeOut	0	false
8	16107	699	Login_Guardian_Cam_Idle	Login_Guardian_Cam_FadeOut	0	false
9	16108	156	Login_Mist_Cam_Idle	Login_Mist_Cam_FadeOut	0	false
10	16109	1270	Login_Black_Dragon_Cam_Idle	Login_Black_Dragon_Cam_FadeOut	0	false
11	16109	1270	Login_Black_Dragon_Cam_Idle	Login_Black_Dragon_Cam_FadeOut	0	false
12	16110	757	Login_Volcano_Cam_Idle	Login_Volcano_Cam_FadeOut	0	false
13	16111	49	Login_Lencea_Cam_Idle	Login_Lencea_Cam_FadeOut	0	false
14	16112	184	Login_Monolith_Cam_Idle	Login_Monolith_Cam_FadeOut	0	false
15	16113	802	Login_DarkAvenger_Cam_Idle	Login_DarkAvenger_Cam_FadeOut	0	true
16	16114	262	Login_Red_Dragon_Cam_Idle	Login_Red_Dragon_Cam_FadeOut	0	false
17	16115	190	Login_Machina_Cam_Idle	Login_Machina_Cam_FadeOut	0	false
18	16116	0	Login_Merca_WorldZone_Cam_Idle	Login_Merca_WorldZone_Cam_FadeOut	0	false
19	16117	0	Login_Daidalos_Cam_Idle	Login_Daidalos_Cam_FadeOut	0	false
20	16118	727	Login_SilverHunter_Cam_Idle	Login_SilverHunter_Cam_FadeOut	0	false
21	16119	590	Login_IceDragon_Cam_Idle	Login_IceDragon_Cam_FadeOut	0	true
22	16120	0	Login_Rhadames_WorldZone_Cam_Idle	Login_Rhadames_WorldZone_Cam_FadeOut	0	true
23	16121	0	Login_Chronicle_Cam_Idle	Login_Chronicle_Cam_FadeOut	0	true
24	16122	56	Login_Arch_Heretic_Cam_Idle	Login_Arch_Heretic_Cam_FadeOut	0	true
25	16123	1616	Login_Granom_Cam_Idle	Login_Granom_Cam_FadeOut	0	false
26	16124	369	Login_Black_Mara_Cam_Idle	Login_Black_Mara_Cam_FadeOut	0	false
27	16125	409	Login_RuneDragon_Cam_Idle	Login_RuneDragon_Cam_FadeOut	0	false
29	16126	340	Login_Ray_Mechanic_Cam_Idle	Login_Ray_Mechanic_Cam_FadeOut	0	false
30	16127	3577	Login_Kairon_Cam_Idle	Login_Kairon_Cam_FadeOut	0	true
31	16128	727	Login_Oracle_Cam_Idle	Login_Oracle_Cam_FadeOut	0	true
32	16129	62	Login_Bleed_Cam_Idle	Login_Bleed_Cam_FadeOut	0	false
33	16130	3002	Login_ForestDragon_Cam_Idle	Login_ForestDragon_Cam_FadeOut	0	false
34	16131	6035	Login_RedLotusPalace_Cam_Idle	Login_RedLotusPalace_Cam_FadeOut	0	false
35	16132	1257	Login_Walf_Jade_Cam_Idle	Login_Walf_Jade_Cam_FadeOut	0	false
36	16133	8008	Login_Vandar_Cam_Idle	Login_Vandar_Cam_FadeOut	0	false
37	16134	1516	Login_Rhadames_TitleRenewal_Cam_Idle	Login_Rhadames_TitleRenewal_Cam_FadeOut	1	false
