ROWID	_Left|DOUBLE	_Top|DOUBLE	_Right|DOUBLE	_Bottom|DOUBLE	_GlobalStringIndex|TEXT	_Level1|INTEGER	_Level1StringIndex|TEXT	_Level2|INTEGER	_Level2StringIndex|TEXT	_Level3|INTEGER	_Level3StringIndex|TEXT	_Level4|INTEGER	_Level4StringIndex|TEXT	_Level5|INTEGER	_Level5StringIndex|TEXT	_Level6|INTEGER	_Level6StringIndex|TEXT	_Level7|INTEGER	_Level7StringIndex|TEXT	_Level8|INTEGER	_Level8StringIndex|TEXT	_Level9|INTEGER	_Level9StringIndex|TEXT	_Level10|INTEGER	_Level10StringIndex|TEXT
1001	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1002	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1003	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1004	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1005	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1006	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1007	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1008	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1009	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1010	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1011	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1012	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1013	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1014	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1015	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1016	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1017	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1018	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1019	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1020	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1021	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1022	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1023	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1024	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1025	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1026	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1027	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1028	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1029	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1030	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1031	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1032	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1033	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1034	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1035	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1036	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1037	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1038	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1039	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
1040	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2001	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2002	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2003	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
