ROWID	_TotalLevelLimit|INTEGER	_LevelLimit|INTEGER	_SkillTableID|INTEGER	_SkillType|INTEGER	_TreeSlotIndex|INTEGER	_HeroLevelLimit|TEXT
1	1	1	280003	0	0	1;17;27;37;47;57;67;77;87;97;107;117;127;137;147;157;167;177;187;197;207;217;227;237;247;257;267;277;287;297;307;317;327;337;347;357;367;377;387;397;407;417;427;437;447;457;467;477;487;497;507;517;527;537;547;557;567;577;587;597
2	50	1	280001	1	1	1;16;26;36;46;56;66;76;86;96;106;116;126;136;146;156;166;176;186;196;206;216;226;236;246;256;266;276;286;296;306;316;326;336;346;356;366;376;386;396;406;416;426;436;446;456;466;476;486;496;506;516;526;536;546;556;566;576;586;596
3	75	1	280002	2	2	1;87;167;247;327;407;487;560
4	900	60	280004	0	18	1;43;83;123;163;203;243;283;323;363;403;443;483;523;563
5	125	40	280005	2	3	1;24;44;64;84;104;124;144;164;184;204;224;244;264;284;304;324;344;364;384;404;424;444;464;484;504;524;544;564;584
6	150	24	280006	2	4	1;68;128;188;248;308;368;428;488;548
7	175	32	280007	1	5	1;101;201;301;401;501
8	200	60	280008	2	6	1;305
9	225	1	280009	1	7	1;46;86;126;166;206;246;286;326;366;406;446;486;526;566
10	250	1	280010	2	8	1;69;129;189;249;309;369;429;489;549
11	275	1	280011	1	9	1;32;62;92;122;152;182;212;242;272;302;332;362;392;422;452;482;512;542;572
12	300	32	280012	2	10	1;256;512
13	325	40	280013	1	11	1;19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209;219;229;239;249;259;269;279;289;299;309;319;329;339;349;359;369;379;389;399;409;419;429;439;449;459;469;479;489;499;509;519;529;539;549;559;569;579;589;599
14	350	50	280014	2	12	1;94;184;274;364;454;544
15	425	40	280015	0	14	1;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;252;264;276;288;300;312;324;336;348;360;372;384;396;408;420;432;444;456;468;480;492;504;516;528;540;552;564;576;588
16	375	40	280017	0	13	1;38;68;98;128;158;188;218;248;278;308;338;368;398;428;458;488;518;548;578
17	450	24	280018	2	15	1;63;123;183;243;303;363;423;483;543
18	475	40	280019	0	16	1;15;25;35;45;55;65;75;85;95;105;115;125;135;145;155;165;175;185;195;205;215;225;235;245;255;265;275;285;295;305;315;325;335;345;355;365;375;385;395;405;415;425;435;445;455;465;475;485;495;505;515;525;535;545;555;565;575;585;595
19	500	50	280020	2	17	1;58;118;178;238;298;358;418;478;538
