ROWID	ID2|INTEGER	_ResultVehicle|INTEGER	_VehicleObject|INTEGER	_VehicleStuff|INTEGER	_msg|BOOLEAN
5	5	1073905986	1073905985	1073905985	true
6	6	1073905987	1073905986	1073905986	true
7	7	1073906110	1073906109	1073906109	true
8	8	1073906111	1073906110	1073906110	true
9	9	1073908531	1073908530	1073908530	true
10	10	1073908532	1073908531	1073908531	true
11	11	1073915033	1073915032	1073915032	true
12	12	1073915034	1073915033	1073915033	true
13	13	1073913056	1073913055	1073913055	true
14	14	1073913057	1073913056	1073913056	true
15	15	1073919407	1073919406	1073919406	true
16	16	1073919408	1073919407	1073919407	true
17	17	1073921377	1073921376	1073921376	true
18	18	1073921378	1073921377	1073921377	true
19	19	1073924877	1073924397	1073924397	true
20	20	1073924878	1073924877	1073924877	true
