ROWID	_EquipType|INTEGER	_SkinName|INTEGER	_ActName|INTEGER	_AniName|INTEGER	_DecalName|INTEGER	_SimName|INTEGER	_Length|INTEGER	_Durability|INTEGER	_DurabilityRepairCoin|INTEGER	_Material1_Normal_Particle|INTEGER	_Material1_Critical_Particle|INTEGER	_Material1_Stun_Particle|INTEGER	_Material2_Normal_Particle|INTEGER	_Material2_Critical_Particle|INTEGER	_Material2_Stun_Particle|INTEGER	_Material3_Normal_Particle|INTEGER	_Material3_Critical_Particle|INTEGER	_Material3_Stun_Particle|INTEGER	_Defense_Particle|INTEGER	_Finish_Particle|INTEGER	_Material1_Normal_Sound|INTEGER	_Material2_Normal_Sound|INTEGER	_Material3_Normal_Sound|INTEGER	_Critical_Sound|INTEGER	_Stun_Sound|INTEGER	_Defense_Sound|INTEGER	_Finish_Sound|INTEGER	_Sound_Range|DOUBLE	_Sound_Rolloff|FLOAT	_EmptyDurabilitySound|INTEGER	_SetItemID|INTEGER	_SetEffect_ActName|INTEGER	_Grade_SetItem|BOOLEAN	_Material1_Normal_Action|INTEGER	_Material1_Critical_Action|INTEGER	_Material1_Stun_Action|INTEGER	_Material2_Normal_Action|INTEGER	_Material2_Critical_Action|INTEGER	_Material2_Stun_Action|INTEGER	_Material3_Normal_Action|INTEGER	_Material3_Critical_Action|INTEGER	_Material3_Stun_Action|INTEGER	_Defense_Action|INTEGER	_Finish_Action|INTEGER	_EquipTypeSub1|INTEGER	_SkinNameSub1|INTEGER	_ActNameSub1|INTEGER	_AniNameSub1|INTEGER	_SimNameSub1|INTEGER	_EquipTypeSub2|INTEGER	_SkinNameSub2|INTEGER	_ActNameSub2|INTEGER	_AniNameSub2|INTEGER	_SimNameSub2|INTEGER	_SetItemTextID|INTEGER	_Material4_Normal_Particle|INTEGER	_Material4_Critical_Particle|INTEGER	_Material4_Stun_Particle|INTEGER	_Material4_Normal_Sound|INTEGER	_Material4_Normal_Action|INTEGER	_Material4_Critical_Action|INTEGER	_Material4_Stun_Action|INTEGER	_OneType|BOOLEAN	_SetOverlap|BOOLEAN	_CloneParts|INTEGER	_CloneSetitemOn|INTEGER
268495559	36	68915	10889	11084	0	0	120	10000	1	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495684	36	68915	10889	11084	0	0	120	24000	19	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495685	36	68915	10889	11084	0	0	120	24000	39	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495686	36	68915	10889	11084	0	0	120	24000	58	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495687	36	68915	10889	11084	0	0	120	24000	78	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495688	36	68915	10889	11084	0	0	120	24000	98	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495689	36	68915	10889	11084	0	0	120	24000	117	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495690	36	68915	10889	11084	0	0	120	24000	137	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495691	36	68915	10889	11084	0	0	120	24000	157	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495692	36	68915	10889	11084	0	0	120	24000	176	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495693	36	68915	10889	11084	0	0	120	24000	196	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495694	36	68915	10889	11084	0	0	120	24000	215	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495695	36	68915	10889	11084	0	0	120	24000	255	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495696	36	68915	10889	11084	0	0	120	24000	294	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495697	36	68915	10889	11084	0	0	120	24000	333	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495698	36	68915	10889	11084	0	0	120	24000	373	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495699	36	68915	10889	11084	0	0	120	24000	412	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495700	36	68915	10889	11084	0	0	120	24000	451	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495701	36	68915	10889	11084	0	0	120	24000	490	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495702	36	68915	10889	11084	0	0	120	24000	530	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495703	36	68915	10889	11084	0	0	120	24000	569	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
268495704	36	68915	10889	11084	0	0	120	24000	608	69060	69061	69060	69060	69061	69060	69060	69061	69060	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	0	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	69060	69061	69060	10895	0	0	0	false	false	0	0
