ROWID	_EquipType|INTEGER	_SkinName|INTEGER	_ActName|INTEGER	_AniName|INTEGER	_DecalName|INTEGER	_SimName|INTEGER	_Length|INTEGER	_Durability|INTEGER	_DurabilityRepairCoin|INTEGER	_Material1_Normal_Particle|INTEGER	_Material1_Critical_Particle|INTEGER	_Material1_Stun_Particle|INTEGER	_Material2_Normal_Particle|INTEGER	_Material2_Critical_Particle|INTEGER	_Material2_Stun_Particle|INTEGER	_Material3_Normal_Particle|INTEGER	_Material3_Critical_Particle|INTEGER	_Material3_Stun_Particle|INTEGER	_Defense_Particle|INTEGER	_Finish_Particle|INTEGER	_Material1_Normal_Sound|INTEGER	_Material2_Normal_Sound|INTEGER	_Material3_Normal_Sound|INTEGER	_Critical_Sound|INTEGER	_Stun_Sound|INTEGER	_Defense_Sound|INTEGER	_Finish_Sound|INTEGER	_Sound_Range|DOUBLE	_Sound_Rolloff|FLOAT	_EmptyDurabilitySound|INTEGER	_SetItemID|INTEGER	_SetEffect_ActName|INTEGER	_Grade_SetItem|BOOLEAN	_Material1_Normal_Action|INTEGER	_Material1_Critical_Action|INTEGER	_Material1_Stun_Action|INTEGER	_Material2_Normal_Action|INTEGER	_Material2_Critical_Action|INTEGER	_Material2_Stun_Action|INTEGER	_Material3_Normal_Action|INTEGER	_Material3_Critical_Action|INTEGER	_Material3_Stun_Action|INTEGER	_Defense_Action|INTEGER	_Finish_Action|INTEGER	_EquipTypeSub1|INTEGER	_SkinNameSub1|INTEGER	_ActNameSub1|INTEGER	_AniNameSub1|INTEGER	_SimNameSub1|INTEGER	_EquipTypeSub2|INTEGER	_SkinNameSub2|INTEGER	_ActNameSub2|INTEGER	_AniNameSub2|INTEGER	_SimNameSub2|INTEGER	_SetItemTextID|INTEGER	_Material4_Normal_Particle|INTEGER	_Material4_Critical_Particle|INTEGER	_Material4_Stun_Particle|INTEGER	_Material4_Normal_Sound|INTEGER	_Material4_Normal_Action|INTEGER	_Material4_Critical_Action|INTEGER	_Material4_Stun_Action|INTEGER	_OneType|BOOLEAN	_SetOverlap|BOOLEAN	_CloneParts|INTEGER	_CloneSetitemOn|INTEGER
268456392	1	10989	10986	2567	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1109	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
268456393	23	22716	23112	0	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1115	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456394	0	11090	10889	11084	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1109	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
268456395	2	10935	10928	0	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1109	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
268456396	5	9593	9625	9587	0	0	750	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10496	10496	10496	10217	10892	143	10892	20.0	0.3	10920	1110	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10496	0	0	0	false	false	0	0
268456397	3	11034	11068	11045	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10365	10366	10367	10217	10892	143	10892	20.0	0.3	10920	1109	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10368	0	0	0	false	false	0	0
268456398	11	9941	9934	0	0	0	80	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1112	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456399	27	31675	32288	29369	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1116	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456400	4	9717	9749	9711	0	0	450	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10496	10496	10496	10217	10892	143	10892	20.0	0.3	10920	1110	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10496	0	0	0	false	false	0	0
268456401	7	30294	10864	0	0	0	500	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1111	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456402	25	31604	29389	31052	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1116	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456403	22	22769	21786	21788	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1115	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456404	14	30296	9992	0	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1112	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456405	9	10679	10711	10712	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1111	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456406	13	10110	10095	0	0	0	80	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1112	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456407	10	10737	10769	10770	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1111	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456408	20	16382	16328	18544	0	0	450	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1114	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456409	8	10614	10646	10647	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1111	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456410	21	16681	16329	0	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1114	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456411	17	9406	9442	9443	0	0	450	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1113	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456412	16	9467	9503	9504	0	0	500	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1113	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456413	6	9649	9682	9643	0	0	600	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10496	10496	10496	10217	10892	143	10892	20.0	0.3	10920	1110	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10496	0	0	0	false	false	0	0
268456414	24	24138	21783	21785	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1115	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456415	18	9346	9339	9522	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1113	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456416	19	16417	16327	18544	0	0	500	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1114	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456417	12	9876	9918	9884	0	9885	100	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10450	10451	10453	10217	10892	143	10892	20.0	0.3	10920	1112	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268456418	15	9798	9797	0	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	9831	9832	9833	10217	10892	143	10892	20.0	0.3	10920	1110	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	9834	0	0	0	false	false	0	0
268457258	1	11015	10986	2567	0	0	0	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1121	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
268457259	23	29434	23112	0	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	25770	25771	25772	10217	10892	143	10892	20.0	0.3	10920	1127	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10454	0	0	0	false	false	0	0
268457260	0	11136	10889	11084	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1121	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
268457261	2	10980	10928	0	0	0	120	24000	6545	736	10216	10215	10289	10289	10289	10293	10291	10293	10345	10290	10892	10893	10894	10217	10892	143	10892	20.0	0.3	10920	1121	0	false	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	11168	263	11167	10895	0	0	0	false	false	0	0
