ROWID	_WingType|INTEGER
1075052672	0
1075052800	0
1075052928	0
1075053056	0
1075053184	0
1075053312	0
1075053440	0
1075053568	0
1075053696	0
1075053824	0
1075053952	0
1075054080	0
1075054208	0
1075054336	0
1075054464	0
1075054592	0
1075054720	0
1075054848	0
1075054976	0
1075055104	0
1075055232	0
1075055360	0
1075055488	0
1075055616	0
1075055744	0
1075055872	0
1075056000	0
8000041	0
8000042	0
8000043	0
8000044	0
8000045	0
8000200	0
8000201	0
8000202	0
8000203	0
8000204	0
8000206	0
8000207	0
1075065344	0
1075065472	0
1075065600	0
1075065728	0
1075065856	0
1075065984	0
1075066112	0
1075066240	0
1075066368	0
1075066496	0
1075066624	0
1075066752	0
1075066880	0
1075067008	0
1075067136	0
1075067264	0
1075067392	0
1075067520	0
1073742310	0
1073742311	0
1073748866	0
1073748867	0
1073748868	0
1073748869	0
1073748870	0
1073748871	0
1073748872	0
1073748873	0
1073748874	0
