ROWID	_WingType|INTEGER
1073759013	0
1073759014	0
1073759015	0
1073759016	0
1073759017	0
1073761193	0
1073761194	0
1073761195	0
1073761196	0
1073791265	0
1073791325	0
1073812757	0
1073774518	0
1073774519	0
1073774522	0
1073774523	0
1073774524	0
1073797966	0
71000211	0
805306506	0
805306507	0
805306605	0
805306610	0
805306611	0
805306612	0
805306714	0
805306715	0
805306716	0
805306717	0
805306726	0
805306739	0
805306938	0
805306942	0
805306971	0
805307024	0
805307148	0
805307150	0
805307235	0
805307236	0
805307253	0
805307268	0
805307362	0
805307363	0
805307364	0
805307535	0
805307536	0
805307537	0
805307538	0
805307539	0
805307540	0
805307541	0
805307542	0
805307543	0
805307544	0
805307545	0
805307546	0
805307547	0
805307548	0
805307549	0
805307550	0
805307551	0
805307552	0
805307756	0
805307876	0
805308021	0
805308065	0
805308066	0
805308311	0
805308312	0
805308313	0
805308314	0
805308315	0
805308316	0
805308317	0
805308318	0
805308319	0
805308320	0
805308321	0
805308322	0
805308323	0
805308324	0
805308325	0
805308326	0
805308327	0
805308328	0
805308329	0
805308330	0
805308331	0
805308332	0
805308333	0
805308334	0
805308335	0
805308336	0
805308337	0
805308338	0
805308339	0
805308340	0
805308341	0
805308342	0
805308343	0
805308344	0
805308345	0
805308346	0
805308347	0
805308348	0
805308349	0
805308350	0
805308351	0
805308352	0
805308529	0
805308543	0
805308742	0
805308902	0
805309026	0
805309027	0
805309028	0
805309029	0
805309030	0
805309031	0
805309032	0
805309033	0
805309034	0
805309035	0
805309036	0
805309037	0
805309038	0
805309039	0
805309040	0
805309041	0
805309042	0
805309043	0
805309044	0
805309045	0
805309046	0
805309047	0
805309048	0
805309049	0
805309050	0
805309051	0
805309052	0
805309053	0
1073791217	0
805309280	0
805309281	0
805309282	0
805309283	0
805309284	0
805309285	0
805309286	0
805309287	0
805309288	0
805309289	0
805309290	0
805309291	0
805309292	0
805309293	0
805309317	0
805309518	0
805308915	0
805308185	0
805308186	0
805308187	0
805308188	0
805308189	0
805308190	0
805308191	0
805308909	0
805307845	0
805307846	0
805307847	0
805307848	0
805307849	0
805307850	0
805307844	0
805309773	0
805309796	0
805309859	0
805309829	0
805309835	0
805309916	0
805309976	0
805310019	0
805310189	0
805310245	0
805310300	0
805310320	0
805310334	0
805310339	0
805310443	0
805310512	0
805310513	0
805310514	0
805310515	0
805310516	0
805310517	0
805310518	0
805310519	0
805310520	0
805310760	0
805310929	0
805310930	0
805310931	0
805310932	0
805310933	0
805310934	0
805310935	0
805310936	0
805310937	0
805310983	0
805310984	0
805310986	0
805310987	0
805310989	0
805310990	0
805310991	0
805311001	0
805311028	0
805311066	0
805311144	0
805311152	0
805311235	0
805312680	0
805311339	0
805311410	0
805311524	0
805311588	0
805311589	0
805311590	0
805311591	0
805311593	0
805311595	0
805311604	0
805311633	0
805311897	0
805312272	0
805312273	0
805312201	0
805312278	0
805312318	0
805312369	0
805312768	0
805312516	0
805312522	0
805312539	0
805312560	0
805312703	0
805312724	0
805312969	0
