ROWID	_StorageType1|INTEGER	_StorageItem1|INTEGER	_StorageItemValue1|INTEGER	_StorageType2|INTEGER	_StorageItem2|INTEGER	_StorageItemValue2|INTEGER	_StorageType3|INTEGER	_StorageItem3|INTEGER	_StorageItemValue3|INTEGER	_StorageType4|INTEGER	_StorageItem4|INTEGER	_StorageItemValue4|INTEGER	_StorageType5|INTEGER	_StorageItem5|INTEGER	_StorageItemValue5|INTEGER
268475920	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475921	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475922	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475923	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475924	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475925	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475926	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475927	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475928	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475929	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475930	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475931	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475932	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475933	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475934	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475935	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475936	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475937	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475938	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475939	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475940	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475941	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475942	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475943	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
